model,type,accuracy,precision,recall,f1,roc_auc,params,inference_ms
custom_cnn,classification,0.8418604651162791,0.8452971576227389,0.8418604651162791,0.8398226577118418,0.9198171267803764,422530,57.62479497674957
resnet50,classification,0.9767441860465116,0.9776670358065708,0.9767441860465116,0.9766618664024207,0.9990328820116054,23512130,174.89954740000073
mobilenet_v2,classification,0.986046511627907,0.986384096024006,0.986046511627907,0.9860188047563463,0.9986812027430982,2226434,63.447213902327356
efficientnet_b0,classification,0.986046511627907,0.9860727476951204,0.986046511627907,0.9860379137168923,0.999560400914366,4010110,67.82811679069371
yolov8m,detection,0.8130,0.8410,0.7640,0.0,0.0,25840918,5.3
