epoch,train_loss,train_acc,val_loss,val_acc
1,0.2028,0.9413,0.0418,0.9910
2,0.0379,0.9925,0.0308,0.9887
3,0.0187,0.9959,0.0323,0.9887
4,0.0123,0.9966,0.0250,0.9910
5,0.0063,0.9996,0.0255,0.9910
6,0.0116,0.9970,0.0305,0.9864
7,0.0127,0.9955,0.0196,0.9910
8,0.0108,0.9977,0.0236,0.9887
9,0.0056,0.9989,0.0293,0.9910
10,0.0036,0.9989,0.0252,0.9910
11,0.0047,0.9989,0.0384,0.9864
